H.sapiens,P.troglodytes,Chaperone_client,dN,dS,dN/dS,Protein-protein_interaction_(PPI),Protein_abundance,Codon_adaptation_index_(CAI),Aggregation_propensity
ENSG00000151233,GXYLT1,Non-client,0.0021,0.0132,0.159090909,8,1.28,0.6162359,2803.28
ENSG00000028203,VEZT,Non-client,0.0018,0.0028,0.642857143,21,1.28,0.6754206,3299.29
ENSG00000186889,TMEM17,Non-client,0.347,0.4077,0.851116017,400,1.28,0.5159058,5049.25
ENSG00000126821,SGPP1,Non-client,0.0065,0.0178,0.365168539,26,1.28,0.4359141,8416.35
ENSG00000169515,CCDC8,Client,0.0061,0.011,0.554545455,551,1.29,0.4484178,161.186
ENSG00000148156,ACTL7B,Non-client,0.0047,0.0408,0.115196078,1,1.29,0.3558411,298.543
ENSG00000180098,TRNAU1AP,Non-client,0,0.0041,0,4,1.29,0.5415379,437.965
ENSG00000154945,ANKRD40,Non-client,0.0027,0.0029,0.931034483,31,1.29,0.5932105,438.048
ENSG00000196104,SPOCK3,Non-client,0.0021,0.0141,0.14893617,4,1.29,0.6266207,568.555
ENSG00000146285,SCML4,Non-client,0.0032,0.0099,0.323232323,3,1.29,0.4642782,1213.72
ENSG00000176485,PLA2G16,Non-client,0.0139,0.0765,0.181699346,4,1.29,0.5230254,1360.01
ENSG00000171320,ESCO2,Non-client,0.003,0.0202,0.148514852,19,1.29,0.6968898,1487.82
ENSG00000163683,LOC746169,Non-client,0.0047,0.0118,0.398305085,3,1.29,0.6766191,1717.74
ENSG00000106346,USP42,Non-client,0.0061,0.0128,0.4765625,36,1.29,0.4872694,1992.04
ENSG00000184374,COLEC10,Client,0.0016,0.0096,0.166666667,14,1.29,0.5920769,2120.26
ENSG00000051108,HERPUD1,Non-client,0,0.0116,0,29,1.29,0.5728346,3210.1
ENSG00000137868,STRA6,Non-client,0.0065,0.0105,0.619047619,2,1.29,0.4454759,11612.6
ENSG00000155850,SLC26A2,Non-client,0.0032,0.0031,1.032258065,12,1.29,0.6546703,13780.8
ENSG00000171843,MLLT3,Non-client,0,0.0378,0,51,1.3,0.5969822,792.967
ENSG00000158516,CPA2,Non-client,0.0011,0.0109,0.100917431,7,1.3,0.5670479,1793.63
ENSG00000122707,RECK,Non-client,0.0005,0.0025,0.2,15,1.3,0.6142589,2109.89
ENSG00000167280,ENGASE,Non-client,0.0021,0.0266,0.078947368,1,1.3,0.4127109,3441.9
ENSG00000180745,CLRN3,Non-client,0.0101,0.0111,0.90990991,2,1.3,0.5175736,6201.82
ENSG00000171303,KCNK3,Non-client,0.0009,0.0333,0.027027027,3,1.3,0.2870791,8067.81
ENSG00000135750,KCNK1,Non-client,0,0.0321,0,5,1.3,0.4216627,8319.39
ENSG00000182950,ODF3L1,Non-client,0.0015,0.0197,0.076142132,2,1.31,0.4187275,18.3724
ENSG00000109881,CCDC34,Non-client,0.0024,0.0039,0.615384615,2,1.31,0.6025637,128.666
ENSG00000160094,ZNF362,Non-client,0,0.009,0,3,1.31,0.3606244,217.513
ENSG00000122435,TRMT13,Non-client,0.0027,0.0032,0.84375,4,1.31,0.7079635,1299.6
ENSG00000163600,ICOS,Non-client,0.0024,0.0235,0.10212766,6,1.31,0.6589082,2852.95
ENSG00000185339,TCN2,Non-client,0.0084,0.0187,0.449197861,5,1.31,0.4924578,2872.45
ENSG00000115590,IL1R2,Non-client,0.0031,0.0169,0.183431953,39,1.31,0.5297304,2921.89
ENSG00000137812,KNL1,Non-client,0.0077,0.0104,0.740384615,,1.31,0.7146174,4050.61
ENSG00000131634,TMEM204,Non-client,0.0073,0.0492,0.148373984,,1.31,0.3698935,4979.46
ENSG00000188559,RALGAPA2,Non-client,0.0019,0.0119,0.159663866,5,1.31,0.5840543,14749
ENSG00000187624,LOC112207574,Non-client,0.0239,0.1181,0.202370872,1,1.32,0.3773814,0
ENSG00000115844,DLX2,Non-client,0.0025,0.0158,0.158227848,13,1.32,0.3525092,7.7996
ENSG00000138308,PLA2G12B,Non-client,0,0.0062,0,3,1.32,0.4979749,1015.31
ENSG00000150401,DCUN1D2,Non-client,0.0099,0.0159,0.622641509,15,1.32,0.4540209,2024.85
ENSG00000175826,CTDNEP1,Non-client,0,0.0049,0,51,1.32,0.473683,2176.56
ENSG00000110448,CD5,Non-client,0.0026,0.0059,0.440677966,11,1.32,0.4623119,3078.49
ENSG00000124467,LOC468898,Non-client,0.0179,0.0403,0.444168735,37,1.32,0.5210541,3298.9
ENSG00000124587,PEX6,Non-client,0.003,0.0084,0.357142857,14,1.32,0.4585754,3629.5
ENSG00000135966,TGFBRAP1,Non-client,0.0016,0.016,0.1,18,1.32,0.4899213,5232.05
ENSG00000124256,ZBP1,Non-client,0.0099,0.0165,0.6,13,1.33,0.5109452,291.759
ENSG00000118849,RARRES1,Non-client,0.0108,0.0234,0.461538462,,1.33,0.4362109,1148.78
ENSG00000108384,RAD51C,Non-client,0.0133,0.0121,1.099173554,22,1.33,0.6557018,1527.08
ENSG00000094841,UPRT,Non-client,0.0015,0.0167,0.089820359,8,1.33,0.5514609,1586.65
ENSG00000152382,TADA1,Non-client,0,0.0099,0,24,1.33,0.6066916,1815.66
ENSG00000158270,COLEC12,Non-client,0.0019,0.0201,0.094527363,32,1.33,0.5448832,2652.89
ENSG00000005700,IBTK,Non-client,0.0027,0.0058,0.465517241,71,1.33,0.7349509,4480.13
ENSG00000164284,GRPEL2,Non-client,0.0022,0.0095,0.231578947,10,1.34,0.5497948,193.462
ENSG00000076650,GPATCH1,Non-client,0.0059,0.0122,0.483606557,48,1.34,0.5836735,434.944
ENSG00000198858,R3HDM4,Non-client,0.003,0.0071,0.422535211,1,1.34,0.3548288,450.348
ENSG00000135094,SDS,Non-client,0.0039,0.0091,0.428571429,,1.34,0.4314803,826.037
ENSG00000082258,CCNT2,Non-client,0.0006,0.0065,0.092307692,17,1.34,0.6353336,1312.79
ENSG00000187796,CARD9,Non-client,0.0028,0.0668,0.041916168,76,1.34,0.3651518,1329.88
ENSG00000100395,L3MBTL2,Non-client,0.0013,0.0098,0.132653061,53,1.34,0.4605937,1481.08
ENSG00000168237,GLYCTK,Non-client,0.0018,0.0063,0.285714286,14,1.34,0.4816178,2151.38
ENSG00000054967,RELT,Non-client,0.0043,0.0087,0.494252874,18,1.34,0.3910757,2189.22
ENSG00000116183,PAPPA2,Non-client,0.0024,0.007,0.342857143,3,1.34,0.5212864,4737.64
ENSG00000198837,DENND4B,Non-client,0.0009,0.0062,0.14516129,1,1.34,0.4544474,7246.57
ENSG00000158296,SLC13A3,Non-client,0.0007,0.0208,0.033653846,,1.34,0.4088127,11659.2
ENSG00000119650,IFT43,Non-client,0.0859,0.1941,0.442555384,18,1.35,0.4851836,36.8293
ENSG00000101442,ACTR5,Non-client,0.0023,0.0121,0.190082645,37,1.35,0.4767468,388.836
ENSG00000166439,RNF169,Non-client,0.0021,0.0076,0.27631579,14,1.35,0.4752249,663.796
ENSG00000104967,NOVA2,Non-client,0,0.0231,0,3,1.35,0.3647637,777.052
ENSG00000164896,FASTK,Client,0.0009,0.0061,0.147540984,7,1.35,0.435374,2122.62
ENSG00000196505,GDAP2,Non-client,0.0173,0.0388,0.445876289,5,1.35,0.6750254,3690.55
ENSG00000153551,CMTM7,Non-client,0.12,0.1802,0.665926748,,1.35,0.3947331,5200.18
ENSG00000134853,PDGFRA,Non-client,0.0063,0.0179,0.351955307,52,1.35,0.5538673,6580.17
ENSG00000089123,TASP1,Non-client,0.0011,0.0168,0.065476191,2,1.36,0.6310761,1016.54
ENSG00000109832,DDX25,Non-client,0.002,0.0046,0.434782609,1,1.36,0.5717715,2261.47
ENSG00000139631,CSAD,Non-client,0.1275,0.1652,0.771791768,12,1.36,0.4527371,2273.77
ENSG00000136636,KCTD3,Client,0,0.0107,0,125,1.36,0.6574965,2797.62
ENSG00000134249,ADAM30,Non-client,0.0036,0.0147,0.244897959,12,1.36,0.6321624,3069.25
ENSG00000172425,TTC36,Non-client,0,0.0132,0,1,1.37,0.408204,126.8
ENSG00000133983,COX16,Non-client,0.0043,0.0121,0.355371901,6,1.37,0.602645,558.947
ENSG00000198890,PRMT6,Client,0,0.0257,0,119,1.37,0.3552796,1063.05
ENSG00000081019,RSBN1,Non-client,0.0006,0.0082,0.073170732,46,1.37,0.5509884,1095.29
ENSG00000169016,E2F6,Non-client,0.1762,0.1589,1.108873505,41,1.37,0.5928145,1175.86
ENSG00000169783,LINGO1,Non-client,0,0.0204,0,18,1.37,0.3432643,3822.28
ENSG00000092068,SLC7A8,Non-client,0,0.0172,0,1,1.37,0.4650364,15507.8
ENSG00000087095,NLK,Non-client,0,0.0021,0,56,1.38,0.6280273,1394.42
ENSG00000177030,DEAF1,Non-client,0.0008,0.0091,0.087912088,22,1.38,0.4008591,1693.12
ENSG00000171132,PRKCE,Client,0,0.0167,0,51,1.38,0.458027,2252.68
ENSG00000142619,PADI3,Non-client,0.0045,0.0166,0.271084337,17,1.38,0.4376733,2489.74
ENSG00000167434,CA4,Non-client,0.0052,0.0041,1.268292683,5,1.38,0.4495568,2512.44
ENSG00000140505,CYP1A2,Non-client,0.0055,0.0335,0.164179105,7,1.38,0.4198975,5191.49
ENSG00000148842,CNNM2,Non-client,0,0.0146,0,5,1.38,0.4061541,5746.14
ENSG00000089916,GPATCH2L,Non-client,0,0.0047,0,37,1.39,0.5881443,66.9411
ENSG00000168884,TNIP2,Non-client,0.0021,0.018,0.116666667,34,1.39,0.4307608,73.7062
ENSG00000163961,RNF168,Non-client,0.0042,0.0115,0.365217391,44,1.39,0.5965394,408.713
ENSG00000134532,SOX5,Non-client,0,0.0105,0,34,1.39,0.5829916,523.865
ENSG00000133111,RFXAP,Non-client,0.0032,0.0152,0.210526316,8,1.39,0.43364,978.124
ENSG00000176692,FOXC2,Non-client,0.0015,0.025,0.06,35,1.39,0.2811678,1052.17
ENSG00000069966,GNB5,Client,0,0.0222,0,37,1.39,0.4874047,1087.62
ENSG00000153561,RMND5A,Non-client,0,0.0087,0,51,1.39,0.6208288,1245.8
ENSG00000129465,RIPK3,Non-client,0.0054,0.0234,0.230769231,25,1.39,0.4942874,2311.49
ENSG00000169862,CTNND2,Non-client,0,0.0124,0,9,1.39,0.4345877,2485.38
ENSG00000027075,PRKCH,Client,0.0007,0.0125,0.056,12,1.39,0.498417,3000.66
ENSG00000119720,NRDE2,Non-client,0.0016,0.0084,0.190476191,3,1.39,0.5557405,4442.25
ENSG00000072041,SLC6A15,Non-client,0.0006,0.0085,0.070588235,28,1.39,0.6744699,16465.4
ENSG00000133250,ZNF414,Non-client,0.0012,0.0233,0.051502146,39,1.4,0.331552,21.063
ENSG00000117016,RIMS3,Non-client,0.1489,0.2705,0.550462107,3,1.4,0.4373131,1121.44
ENSG00000105856,HBP1,Non-client,0,0.0025,0,21,1.4,0.6937716,1322.23
ENSG00000100479,POLE2,Client,0.004,0.0053,0.754716981,35,1.4,0.6743259,1788.65
ENSG00000171103,TRMT61B,Non-client,0.0029,0.0053,0.547169811,32,1.4,0.5949526,2146.62
ENSG00000177191,B3GNT8,Non-client,0.0022,0.01,0.22,,1.4,0.4062754,2798.67
ENSG00000126262,FFAR2,Non-client,0.004,0.0133,0.30075188,2,1.4,0.4139178,7883.22
ENSG00000122741,DCAF10,Client,0.0009,0.0038,0.236842105,34,1.41,0.5177603,697.817
ENSG00000164494,PDSS2,Non-client,0.0045,0.0064,0.703125,7,1.41,0.5850853,1743.8
ENSG00000010327,STAB1,Non-client,0.0031,0.0145,0.213793103,6,1.41,0.4268003,6615.76
ENSG00000172487,OR8J1,Non-client,0.0151,0.0185,0.816216216,,1.41,0.6251267,8639.67
ENSG00000151490,PTPRO,Client,0.0011,0.0065,0.169230769,74,1.41,0.6231554,10239.9
ENSG00000167771,RCOR2,Non-client,0.0026,0.0197,0.131979695,8,1.42,0.4245648,238.36
ENSG00000167106,FAM102A,Non-client,0.0011,0.039,0.028205128,5,1.42,0.3805388,641.244
ENSG00000197467,COL13A1,Non-client,0.0046,0.0128,0.359375,,1.42,0.4997131,1224.4
ENSG00000073605,GSDMB,Non-client,0.0057,0.0054,1.055555556,8,1.42,0.5408681,1550.82
ENSG00000104885,DOT1L,Non-client,0.0017,0.0206,0.082524272,37,1.42,0.3749578,1793.91
ENSG00000141934,PLPP2,Non-client,0.0415,0.0641,0.647425897,,1.42,0.3871682,5921.81
ENSG00000152578,GRIA4,Non-client,0.0005,0.0105,0.047619048,7,1.42,0.6240908,9739.41
ENSG00000174500,GCSAM,Non-client,0.0104,0.0065,1.6,1,1.43,0.621712,12.449
ENSG00000141858,SAMD1,Non-client,0.001,0.0119,0.084033613,52,1.43,0.3235849,42.2208
ENSG00000134590,LOC747930,Non-client,0,0.02,0,,1.43,0.3305412,258.222
ENSG00000205250,E2F4,Non-client,0.0011,0.0063,0.174603175,49,1.43,0.4945454,423.454
ENSG00000170917,NUDT6,Non-client,0.0044,0.0116,0.379310345,11,1.43,0.5446581,675.307
ENSG00000009780,FAM76A,Non-client,0.0016,0.0073,0.219178082,1,1.43,0.5708436,1220.94
ENSG00000134508,CABLES1,Non-client,0.0035,0.0066,0.53030303,6,1.43,0.3854979,1330.75
ENSG00000171310,CHST11,Non-client,0.1111,0.2373,0.468183734,4,1.43,0.4545837,1535.86
ENSG00000075223,SEMA3C,Non-client,0.0006,0.011,0.054545455,2,1.43,0.6094355,3510.48
ENSG00000227507,LTB,Non-client,0.0018,0.006,0.3,2,1.43,0.3746729,4053.02
ENSG00000158158,CNNM4,Non-client,0.0005,0.0208,0.024038462,9,1.43,0.3883967,6248.02
ENSG00000112146,FBXO9,Client,0.0029,0.0147,0.197278912,8,1.44,0.6352117,1301.98
ENSG00000152766,ANKRD22,Non-client,0,0.0181,0,2,1.44,0.6194022,1858.16
ENSG00000197296,FITM2,Non-client,0,0.0055,0,24,1.44,0.4299758,6418.3
ENSG00000163900,TMEM41A,Non-client,0,0.0205,0,4,1.44,0.493726,7221.75
ENSG00000004399,PLXND1,Non-client,0.0021,0.0174,0.120689655,1,1.44,0.3654873,9615.97
ENSG00000114315,HES1,Client,0,0.0094,0,34,1.45,0.3808135,37.1247
ENSG00000166025,AMOTL1,Non-client,0.0014,0.0145,0.096551724,32,1.45,0.496565,267.752
ENSG00000101200,AVP,Client,0.009,0.0463,0.194384449,24,1.45,0.3108757,549.739
ENSG00000110723,EXPH5,Client,0.0059,0.0082,0.719512195,8,1.45,0.6729275,556.34
ENSG00000204348,DXO,Non-client,0.0012,0.0214,0.056074766,15,1.45,0.4612972,796.628
ENSG00000101181,MTG2,Client,0.0068,0.0184,0.369565217,19,1.45,0.4478414,1257.68
ENSG00000111913,RIPOR2,Non-client,0.0021,0.0094,0.223404255,,1.45,0.5437304,2958.18
ENSG00000173950,XXYLT1,Non-client,0.0045,0.0202,0.222772277,9,1.45,0.346027,3085.58
ENSG00000182580,EPHB3,Non-client,0.0017,0.0215,0.079069767,12,1.45,0.4029558,3932.98
ENSG00000124557,BTN1A1,Non-client,0.0046,0.002,2.3,3,1.45,0.5143041,4183.39
ENSG00000175595,ERCC4,Non-client,0.0018,0.0161,0.111801242,30,1.45,0.5878659,4366.47
ENSG00000117408,IPO13,Non-client,0,0.0038,0,36,1.45,0.4873223,8077.44
ENSG00000092978,GPATCH2,Non-client,0.0016,0.0046,0.347826087,4,1.46,0.6374955,6.71767
ENSG00000176973,FAM89B,Non-client,0.0022,0.0348,0.063218391,1,1.46,0.3245807,31.1928
ENSG00000177143,CETN1,Non-client,0.0125,0.0652,0.191717791,44,1.46,0.4310052,306.359
ENSG00000076604,TRAF4,Non-client,0.0009,0.0057,0.157894737,90,1.46,0.4486458,403.23
ENSG00000120370,GORAB,Non-client,0.0063,0.0106,0.594339623,17,1.46,0.6166478,576.309
ENSG00000102921,N4BP1,Non-client,0.0021,0.0039,0.538461539,9,1.46,0.6403755,2414.94
ENSG00000197993,KEL,Non-client,0.0063,0.0151,0.417218543,4,1.46,0.4929449,3943.23
ENSG00000198083,LOC107969063,Non-client,0.0102,0.0251,0.406374502,1,1.47,0.4374908,0
ENSG00000197714,ZNF460,Non-client,0.0008,0.0149,0.053691275,24,1.47,0.5380219,313.282
ENSG00000148019,CEP78,Non-client,0.0046,0.013,0.353846154,17,1.47,0.6323876,409.511
ENSG00000188396,TCTEX1D4,Non-client,0.0059,0.0266,0.221804511,2,1.47,0.3303053,766.026
ENSG00000154328,NEIL2,Non-client,0.0057,0.0106,0.537735849,6,1.47,0.520837,1029.66
ENSG00000142544,CTU1,Non-client,0.0011,0.0398,0.027638191,29,1.47,0.2517499,1180.52
ENSG00000138771,SHROOM3,Non-client,0.0309,0.0422,0.732227488,14,1.47,0.4704994,1357.92
ENSG00000100593,ISM2,Non-client,0.0076,0.0158,0.481012658,,1.47,0.4286773,1401.7
ENSG00000115361,ACADL,Non-client,0.0011,0.0088,0.125,4,1.47,0.6500969,1876.92
ENSG00000068383,INPP5A,Non-client,0,0.0205,0,12,1.47,0.4284034,2055.45
ENSG00000128294,TPST2,Non-client,0.0427,0.1295,0.32972973,10,1.47,0.3785712,2412.82
ENSG00000089094,KDM2B,Non-client,0.009,0.0279,0.322580645,22,1.47,0.4033729,2674.69
ENSG00000119514,GALNT12,Non-client,0.0024,0.0085,0.282352941,25,1.47,0.4226208,2959.39
ENSG00000137642,SORL1,Non-client,0.0024,0.0236,0.101694915,50,1.47,0.4975328,13249.4
ENSG00000109705,NKX3-2,Non-client,0.0038,0.025,0.152,6,1.48,0.3140887,20.639
ENSG00000241058,NSUN6,Non-client,0.0055,0.0226,0.243362832,3,1.48,0.7154166,1339.19
ENSG00000170325,PRDM10,Non-client,0.0027,0.0236,0.11440678,15,1.48,0.4937821,1775.99
ENSG00000198742,SMURF1,Client,0,0.0234,0,332,1.48,0.4992112,1988.51
ENSG00000112701,SENP6,Non-client,0.0026,0.0082,0.317073171,12,1.48,0.7116289,3903.25
ENSG00000085721,RRN3,Non-client,0.0022,0.0124,0.177419355,21,1.48,0.6070855,6565.43
ENSG00000160305,DIP2A,Non-client,0.0009,0.0163,0.055214724,35,1.48,0.468396,10340.8
ENSG00000187650,VMAC,Non-client,0.0026,0.0079,0.329113924,3,1.49,0.365703,4.84549
ENSG00000180834,MAP6D1,Non-client,0.0065,0.0076,0.855263158,,1.49,0.318523,20.3223
ENSG00000119411,BSPRY,Non-client,0.0052,0.0307,0.169381108,21,1.49,0.4247175,922.442
ENSG00000169242,EFNA1,Non-client,0,0.0124,0,7,1.49,0.4783967,1047.64
ENSG00000109047,RCVRN,Non-client,0,0.0261,0,14,1.49,0.4415951,1139.08
ENSG00000198142,SOWAHC,Non-client,0.0079,0.0581,0.135972461,5,1.49,0.3480278,1612.39
ENSG00000113088,GZMK,Non-client,0.0034,0.0101,0.336633663,12,1.49,0.6273344,1869.19
ENSG00000070366,SMG6,Non-client,0.0082,0.02,0.41,19,1.49,0.4975752,3304.21
ENSG00000166311,SMPD1,Non-client,0.0053,0.0258,0.205426357,14,1.49,0.4513255,3778.69
ENSG00000159650,UROC1,Non-client,0.0052,0.0174,0.298850575,,1.49,0.4413184,4477.96
ENSG00000196092,PAX5,Non-client,0,0.0161,0,9,1.5,0.4319129,70.0392
ENSG00000181449,SOX2,Client,0,0.0091,0,351,1.5,0.3166928,81.0479
ENSG00000126752,SSX1,Non-client,0.0189,0.0057,3.315789474,3,1.5,0.5826174,358.777
ENSG00000101888,NXT2,Non-client,0.0047,0.0121,0.388429752,22,1.5,0.6263073,698.546
ENSG00000121068,TBX2,Non-client,0,0.0185,0,6,1.5,0.3276744,984.847
ENSG00000114771,AADAC,Non-client,0.0035,0.009,0.388888889,,1.5,0.6679312,2258.25
ENSG00000143595,AQP10,Non-client,0.0016,0.0037,0.432432432,,1.5,0.496593,6519.84
ENSG00000135540,NHSL1,Non-client,0.006,0.005,1.2,7,1.51,0.5045477,630.413
ENSG00000157045,NTAN1,Non-client,0.0043,0.0223,0.192825112,2,1.51,0.5917498,1038.29
ENSG00000011566,MAP4K3,Non-client,0.0015,0.0061,0.245901639,11,1.51,0.7134814,2389.85
ENSG00000081026,MAGI3,Non-client,0.0107,0.0124,0.862903226,21,1.51,0.6286705,3408.77
ENSG00000153982,GDPD1,Non-client,0,0.008,0,27,1.51,0.6207674,3745.36
ENSG00000135407,AVIL,Non-client,0.0054,0.0091,0.593406593,28,1.51,0.5270438,4782.02
ENSG00000127528,KLF2,Non-client,0.0012,0.0131,0.091603053,11,1.52,0.265837,20.1738
ENSG00000172346,CSDC2,Non-client,0,0.011,0,2,1.52,0.3970972,26.0018
ENSG00000125652,ALKBH7,Non-client,0.1266,0.3036,0.416996047,3,1.52,0.3941203,53.6602
ENSG00000184486,POU3F2,Non-client,0,0.0476,0,8,1.52,0.3570212,185.53
ENSG00000156860,FBRS,Non-client,0,0.0077,0,23,1.52,0.3858418,269.761
ENSG00000151474,FRMD4A,Non-client,0.015,0.0315,0.476190476,4,1.52,0.4285532,2283.04
ENSG00000128731,HERC2,Client,0.001,0.0156,0.064102564,231,1.52,0.5211264,15914.3
ENSG00000155115,GTF3C6,Non-client,0,0.0055,0,12,1.53,0.6470184,13.4474
ENSG00000068489,PRR11,Non-client,0.0054,0.0153,0.352941177,94,1.53,0.665231,242.093
ENSG00000198846,TOX,Non-client,0,0.0062,0,2,1.53,0.5676445,718.429
ENSG00000166173,LARP6,Non-client,0,0.0199,0,3,1.53,0.4362474,761.933
ENSG00000183783,KCTD8,Client,0,0.0298,0,2,1.53,0.3945132,1017.57
ENSG00000227345,PARG,Client,0.0703,0.1026,0.685185185,7,1.53,0.6257138,1373.2
ENSG00000128656,CHN1,Non-client,0,0.005,0,7,1.53,0.6230394,1416.08
ENSG00000145861,C1QTNF2,Non-client,0.0049,0.0218,0.224770642,28,1.53,0.4232174,1700.12
ENSG00000163293,NIPAL1,Non-client,0,0.0079,0,,1.53,0.6332328,11438.6
ENSG00000184990,SIVA1,Non-client,0.0024,0.0501,0.047904192,26,1.54,0.401082,109.345
ENSG00000198961,PJA2,Non-client,0.0045,0.0106,0.424528302,29,1.54,0.729095,222.745
ENSG00000204344,STK19,Non-client,0.0026,0.0032,0.8125,8,1.54,0.4195704,245.323
ENSG00000168056,LTBP3,Client,0.0009,0.0206,0.04368932,9,1.54,0.3661862,2107.86
ENSG00000155111,CDK19,Non-client,0.0513,0.0637,0.80533752,61,1.54,0.5955174,2553.44
ENSG00000167074,TEF,Non-client,0,0.0049,0,1,1.55,0.4176093,7.61729
ENSG00000157259,GATAD1,Non-client,0.0018,0.0042,0.428571429,50,1.55,0.5133639,433.44
ENSG00000198826,ARHGAP11A,Non-client,0.0029,0.0104,0.278846154,17,1.55,0.7141712,973.524
ENSG00000110852,CLEC2B,Non-client,0,0.0104,0,1,1.55,0.7006166,1665.98
ENSG00000125124,BBS2,Non-client,0.0027,0.0108,0.25,29,1.55,0.5842219,1765.11
ENSG00000171241,SHCBP1,Non-client,0.0036,0.0032,1.125,25,1.55,0.6049923,2076.4
ENSG00000178467,P4HTM,Non-client,0.003,0.0135,0.222222222,5,1.55,0.4007941,2744.35
ENSG00000198825,INPP5F,Non-client,0.0012,0.0061,0.196721312,1,1.55,0.6332678,3259.55
ENSG00000122121,XPNPEP2,Non-client,0.0053,0.0139,0.381294964,,1.55,0.4856269,5071.37
ENSG00000176248,ANAPC2,Client,0.001,0.0357,0.028011205,47,1.55,0.3755147,5545.72
ENSG00000099282,TSPAN15,Non-client,0,0.0164,0,19,1.55,0.4081505,7404.2
ENSG00000130158,DOCK6,Non-client,0.0019,0.0287,0.066202091,20,1.55,0.3995892,7723.05
ENSG00000169062,UPF3A,Non-client,0.0084,0.0109,0.770642202,35,1.56,0.5132716,15.1264
ENSG00000254901,BORCS8,Non-client,0,0.0187,0,,1.56,0.3913639,168.7
ENSG00000180891,CUEDC1,Non-client,0.008,0.0216,0.37037037,26,1.56,0.4179718,850.555
ENSG00000152457,DCLRE1C,Non-client,0.0045,0.0222,0.202702703,34,1.56,0.6338115,1131.72
ENSG00000140396,NCOA2,Client,0.0051,0.007,0.728571429,65,1.56,0.5978061,1199.79
ENSG00000163930,BAP1,Client,0.0023,0.0152,0.15131579,60,1.56,0.4445045,2375.08
ENSG00000145868,FBXO38,Client,0.0012,0.0052,0.230769231,16,1.56,0.6162761,2934.22
ENSG00000112237,CCNC,Non-client,0,0.0089,0,70,1.56,0.7249835,3423.02
ENSG00000182093,WRB,Non-client,0,0.0214,0,15,1.56,0.5036743,4228.86
ENSG00000156096,UGT2B4,Non-client,0.0073,0.0063,1.158730159,1,1.56,0.6523007,5252.57
ENSG00000163618,CADPS,Non-client,0,0.0076,0,10,1.56,0.5336107,5616.16
ENSG00000144354,CDCA7,Non-client,0.002,0.0154,0.12987013,6,1.57,0.5364373,514.985
ENSG00000179751,SYCN,Non-client,0.0058,0.054,0.107407407,,1.57,0.3191085,542.894
ENSG00000125482,TTF1,Non-client,0.0059,0.0209,0.282296651,26,1.57,0.63346,636.872
ENSG00000122585,NPY,Non-client,0.0047,0.0129,0.364341085,6,1.57,0.4131235,914.906
ENSG00000179761,PIPOX,Non-client,0.0012,0.006,0.2,8,1.57,0.4961866,1179.49
ENSG00000120049,KCNIP2,Non-client,0,0.0049,0,11,1.57,0.449389,1218.48
ENSG00000164366,CCDC127,Non-client,0.0018,0.0128,0.140625,3,1.57,0.57154,1321.51
ENSG00000146826,C7H7orf43,Non-client,0.0008,0.0046,0.173913044,14,1.57,0.4017436,2731.57
ENSG00000221968,FADS3,Non-client,0.0017,0.0198,0.085858586,17,1.57,0.3994252,6024.6
ENSG00000140743,CDR2,Non-client,0.0036,0.0042,0.857142857,67,1.58,0.5459773,54.5454
ENSG00000116095,PLEKHA3,Non-client,0,0.0043,0,3,1.58,0.6618264,144.851
ENSG00000092330,TINF2,Client,0.0055,0.0115,0.47826087,113,1.58,0.5575302,390.779
ENSG00000152404,CWF19L2,Non-client,0.0052,0.0081,0.641975309,47,1.58,0.6923582,419.6
ENSG00000156239,N6AMT1,Non-client,0.0091,0.0152,0.598684211,2,1.58,0.5789139,1274.17
ENSG00000185559,DLK1,Non-client,0.0031,0.0419,0.07398568,70,1.58,0.3935525,2425
ENSG00000154734,ADAMTS1,Non-client,0.0005,0.0071,0.070422535,18,1.58,0.4933468,3914
ENSG00000001561,ENPP4,Non-client,0.001,0.0028,0.357142857,8,1.58,0.6917542,4004.32
ENSG00000163913,IFT122,Client,0.0014,0.0143,0.097902098,23,1.58,0.4905448,6565.37
ENSG00000109089,CDR2L,Non-client,0.0008,0.0287,0.027874565,4,1.59,0.3750684,117.725
ENSG00000107872,FBXL15,Client,0.0023,0.0142,0.161971831,20,1.59,0.3479902,628.798
ENSG00000163734,CXCL3,Non-client,0.0161,0.0595,0.270588235,,1.59,0.4281942,1068.17
ENSG00000174080,CTSF,Non-client,0.0034,0.0368,0.092391304,10,1.59,0.4183207,1150.31
ENSG00000114541,FRMD4B,Non-client,0.0254,0.0438,0.579908676,1,1.59,0.5713026,3398.68
ENSG00000108846,ABCC3,Non-client,0.1067,0.1704,0.626173709,9,1.59,0.4676511,23062.8
ENSG00000198939,ZFP2,Non-client,0.0018,0.0253,0.071146245,11,1.6,0.7132179,10.5164
ENSG00000139651,ZNF740,Non-client,0.1024,0.1298,0.788906009,7,1.6,0.562047,10.5614
ENSG00000134086,VHL,Client,0,0.0178,0,315,1.6,0.3860185,54.6289
ENSG00000125398,SOX9,Client,0,0.0296,0,18,1.6,0.310979,338.462
ENSG00000112837,TBX18,Non-client,0.0008,0.0077,0.103896104,,1.6,0.4635457,397.942
ENSG00000184903,IMMP2L,Non-client,0.0289,0.0203,1.42364532,1,1.6,0.6406286,685.073
