Entry	Entry name	Protein names	Gene names	Organism	Length	yourlist:M20201112E5A08BB0B2D1C45B0C7BC3B55FD2655603D8DDF	isomap:M20201112E5A08BB0B2D1C45B0C7BC3B55FD2655603D8DDF
Q9Y5K6	CD2AP_HUMAN	CD2-associated protein (Adapter protein CMS) (Cas ligand with multiple SH3 domains)	CD2AP	Homo sapiens (Human)	639	ENSG00000198087	
O75688	PPM1B_HUMAN	Protein phosphatase 1B (EC 3.1.3.16) (Protein phosphatase 2C isoform beta) (PP2C-beta)	PPM1B PP2CB	Homo sapiens (Human)	479	ENSG00000138032	ENSG00000138032 -> O75688-1;O75688-2;O75688-3;O75688-4
Q6P2E9	EDC4_HUMAN	Enhancer of mRNA-decapping protein 4 (Autoantigen Ge-1) (Autoantigen RCD-8) (Human enhancer of decapping large subunit) (Hedls)	EDC4 HEDLS	Homo sapiens (Human)	1401	ENSG00000038358	ENSG00000038358 -> Q6P2E9-1
O75112	LDB3_HUMAN	LIM domain-binding protein 3 (Protein cypher) (Z-band alternatively spliced PDZ-motif protein)	LDB3 KIAA0613 ZASP	Homo sapiens (Human)	727	ENSG00000122367	ENSG00000122367 -> O75112-1;O75112-2;O75112-4;O75112-5;O75112-6;O75112-7
P16035	TIMP2_HUMAN	Metalloproteinase inhibitor 2 (CSC-21K) (Tissue inhibitor of metalloproteinases 2) (TIMP-2)	TIMP2	Homo sapiens (Human)	220	ENSG00000035862	
Q8WUD1	RAB2B_HUMAN	Ras-related protein Rab-2B	RAB2B	Homo sapiens (Human)	216	ENSG00000129472	ENSG00000129472 -> Q8WUD1-1
Q13618	CUL3_HUMAN	Cullin-3 (CUL-3)	CUL3 KIAA0617	Homo sapiens (Human)	768	ENSG00000036257	ENSG00000036257 -> Q13618-1;Q13618-2;Q13618-3
P01241	SOMA_HUMAN	Somatotropin (Growth hormone) (GH) (GH-N) (Growth hormone 1) (Pituitary growth hormone)	GH1	Homo sapiens (Human)	217	ENSG00000259384	ENSG00000259384 -> P01241-1;P01241-2;P01241-5
Q9NZI8	IF2B1_HUMAN	Insulin-like growth factor 2 mRNA-binding protein 1 (IGF2 mRNA-binding protein 1) (IMP-1) (IMP1) (Coding region determinant-binding protein) (CRD-BP) (IGF-II mRNA-binding protein 1) (VICKZ family member 1) (Zipcode-binding protein 1) (ZBP-1)	IGF2BP1 CRDBP VICKZ1 ZBP1	Homo sapiens (Human)	577	ENSG00000159217	ENSG00000159217 -> Q9NZI8-1;Q9NZI8-2
P05771	KPCB_HUMAN	Protein kinase C beta type (PKC-B) (PKC-beta) (EC 2.7.11.13)	PRKCB PKCB PRKCB1	Homo sapiens (Human)	671	ENSG00000166501	ENSG00000166501 -> P05771-1;P05771-2
O00629	IMA3_HUMAN	Importin subunit alpha-3 (Importin alpha Q1) (Qip1) (Karyopherin subunit alpha-4)	KPNA4 QIP1	Homo sapiens (Human)	521	ENSG00000186432	
Q9NVD7	PARVA_HUMAN	Alpha-parvin (Actopaxin) (CH-ILKBP) (Calponin-like integrin-linked kinase-binding protein) (Matrix-remodeling-associated protein 2)	PARVA MXRA2	Homo sapiens (Human)	372	ENSG00000197702	ENSG00000197702 -> Q9NVD7-1
P42025	ACTY_HUMAN	Beta-centractin (Actin-related protein 1B) (ARP1B)	ACTR1B CTRN2	Homo sapiens (Human)	376	ENSG00000115073	
P19784	CSK22_HUMAN	Casein kinase II subunit alpha' (CK II alpha') (EC 2.7.11.1)	CSNK2A2 CK2A2	Homo sapiens (Human)	350	ENSG00000070770	
P56524	HDAC4_HUMAN	Histone deacetylase 4 (HD4) (EC 3.5.1.98)	HDAC4 KIAA0288	Homo sapiens (Human)	1084	ENSG00000068024	ENSG00000068024 -> P56524-1;P56524-2
O43615	TIM44_HUMAN	Mitochondrial import inner membrane translocase subunit TIM44	TIMM44 MIMT44 TIM44	Homo sapiens (Human)	452	ENSG00000104980	
Q12972	PP1R8_HUMAN	Nuclear inhibitor of protein phosphatase 1 (NIPP-1) (Protein phosphatase 1 regulatory inhibitor subunit 8) [Includes: Activator of RNA decay (EC 3.1.4.-) (ARD-1)]	PPP1R8 ARD1 NIPP1	Homo sapiens (Human)	351	ENSG00000117751	ENSG00000117751 -> Q12972-1;Q12972-2;Q12972-3
Q6FI81	CPIN1_HUMAN	Anamorsin (Cytokine-induced apoptosis inhibitor 1) (Fe-S cluster assembly protein DRE2 homolog)	CIAPIN1 CUA001 PRO0915	Homo sapiens (Human)	312	ENSG00000005194	ENSG00000005194 -> Q6FI81-1;Q6FI81-3
P53041	PPP5_HUMAN	Serine/threonine-protein phosphatase 5 (PP5) (EC 3.1.3.16) (Protein phosphatase T) (PP-T) (PPT)	PPP5C PPP5	Homo sapiens (Human)	499	ENSG00000011485	
Q12888	TP53B_HUMAN	TP53-binding protein 1 (53BP1) (p53-binding protein 1) (p53BP1)	TP53BP1	Homo sapiens (Human)	1972	ENSG00000067369	ENSG00000067369 -> Q12888-1;Q12888-2;Q12888-3
P09471	GNAO_HUMAN	Guanine nucleotide-binding protein G(o) subunit alpha	GNAO1	Homo sapiens (Human)	354	ENSG00000087258	ENSG00000087258 -> P09471-1;P09471-2
Q8WVJ2	NUDC2_HUMAN	NudC domain-containing protein 2	NUDCD2	Homo sapiens (Human)	157	ENSG00000170584	
P11802	CDK4_HUMAN	Cyclin-dependent kinase 4 (EC 2.7.11.22) (Cell division protein kinase 4) (PSK-J3)	CDK4	Homo sapiens (Human)	303	ENSG00000135446	ENSG00000135446 -> P11802-1
Q9NXG2	THUM1_HUMAN	THUMP domain-containing protein 1	THUMPD1	Homo sapiens (Human)	353	ENSG00000066654	
P63151	2ABA_HUMAN	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform (PP2A subunit B isoform B55-alpha) (PP2A subunit B isoform PR55-alpha) (PP2A subunit B isoform R2-alpha) (PP2A subunit B isoform alpha)	PPP2R2A	Homo sapiens (Human)	447	ENSG00000221914	ENSG00000221914 -> P63151-1;P63151-2
P34949	MPI_HUMAN	Mannose-6-phosphate isomerase (EC 5.3.1.8) (Phosphohexomutase) (Phosphomannose isomerase) (PMI)	MPI PMI1	Homo sapiens (Human)	423	ENSG00000178802	ENSG00000178802 -> P34949-1;P34949-2
P48556	PSMD8_HUMAN	26S proteasome non-ATPase regulatory subunit 8 (26S proteasome regulatory subunit RPN12) (26S proteasome regulatory subunit S14) (p31)	PSMD8	Homo sapiens (Human)	350	ENSG00000099341	
Q9Y5P6	GMPPB_HUMAN	Mannose-1-phosphate guanyltransferase beta (EC 2.7.7.13) (GDP-mannose pyrophosphorylase B) (GTP-mannose-1-phosphate guanylyltransferase beta)	GMPPB	Homo sapiens (Human)	360	ENSG00000173540	ENSG00000173540 -> Q9Y5P6-1;Q9Y5P6-2
Q7KZ85	SPT6H_HUMAN	Transcription elongation factor SPT6 (hSPT6) (Histone chaperone suppressor of Ty6) (Tat-cotransactivator 2 protein) (Tat-CT2 protein)	SUPT6H KIAA0162 SPT6H	Homo sapiens (Human)	1726	ENSG00000109111	ENSG00000109111 -> Q7KZ85-1
P05067	A4_HUMAN	Amyloid-beta precursor protein (APP) (ABPP) (APPI) (Alzheimer disease amyloid protein) (Amyloid precursor protein) (Amyloid-beta A4 protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99 (Beta-secretase C-terminal fragment) (Beta-CTF); Amyloid-beta protein 42 (Abeta42) (Beta-APP42); Amyloid-beta protein 40 (Abeta40) (Beta-APP40); C83 (Alpha-secretase C-terminal fragment) (Alpha-CTF); P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Amyloid intracellular domain 59) (AICD-59) (AID(59)) (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Amyloid intracellular domain 57) (AICD-57) (AID(57)) (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Amyloid intracellular domain 50) (AICD-50) (AID(50)) (Gamma-CTF(50)); C31]	APP A4 AD1	Homo sapiens (Human)	770	ENSG00000142192	ENSG00000142192 -> P05067-1;P05067-10;P05067-11;P05067-4;P05067-8;P05067-9
P07948	LYN_HUMAN	Tyrosine-protein kinase Lyn (EC 2.7.10.2) (Lck/Yes-related novel protein tyrosine kinase) (V-yes-1 Yamaguchi sarcoma viral related oncogene homolog) (p53Lyn) (p56Lyn)	LYN JTK8	Homo sapiens (Human)	512	ENSG00000254087	ENSG00000254087 -> P07948-1;P07948-2
Q13057	COASY_HUMAN	Bifunctional coenzyme A synthase (CoA synthase) (NBP) (POV-2) [Includes: Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT); Dephospho-CoA kinase (DPCK) (EC 2.7.1.24) (Dephosphocoenzyme A kinase) (DPCOAK)]	COASY PSEC0106	Homo sapiens (Human)	564	ENSG00000068120	ENSG00000068120 -> Q13057-1;Q13057-2
Q8NBX0	SCPDL_HUMAN	Saccharopine dehydrogenase-like oxidoreductase (EC 1.-.-.-)	SCCPDH CGI-49	Homo sapiens (Human)	429	ENSG00000143653	
Q16143	SYUB_HUMAN	Beta-synuclein	SNCB	Homo sapiens (Human)	134	ENSG00000074317	
P16278	BGAL_HUMAN	Beta-galactosidase (EC 3.2.1.23) (Acid beta-galactosidase) (Lactase) (Elastin receptor 1)	GLB1 ELNR1	Homo sapiens (Human)	677	ENSG00000170266	
Q9UER7	DAXX_HUMAN	Death domain-associated protein 6 (Daxx) (hDaxx) (ETS1-associated protein 1) (EAP1) (Fas death domain-associated protein)	DAXX BING2 DAP6	Homo sapiens (Human)	740	ENSG00000204209	ENSG00000204209 -> Q9UER7-1;Q9UER7-3;Q9UER7-4
Q14258	TRI25_HUMAN	E3 ubiquitin/ISG15 ligase TRIM25 (EC 6.3.2.n3) (Estrogen-responsive finger protein) (RING finger protein 147) (RING-type E3 ubiquitin transferase) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRIM25) (Tripartite motif-containing protein 25) (Ubiquitin/ISG15-conjugating enzyme TRIM25) (Zinc finger protein 147)	TRIM25 EFP RNF147 ZNF147	Homo sapiens (Human)	630	ENSG00000121060	
Q99459	CDC5L_HUMAN	Cell division cycle 5-like protein (Cdc5-like protein) (Pombe cdc5-related protein)	CDC5L KIAA0432 PCDC5RP	Homo sapiens (Human)	802	ENSG00000096401	
Q9GZZ9	UBA5_HUMAN	Ubiquitin-like modifier-activating enzyme 5 (Ubiquitin-activating enzyme 5) (ThiFP1) (UFM1-activating enzyme) (Ubiquitin-activating enzyme E1 domain-containing protein 1)	UBA5 UBE1DC1	Homo sapiens (Human)	404	ENSG00000081307	ENSG00000081307 -> Q9GZZ9-1;Q9GZZ9-2
P42285	MTREX_HUMAN	Exosome RNA helicase MTR4 (EC 3.6.4.13) (ATP-dependent RNA helicase DOB1) (ATP-dependent RNA helicase SKIV2L2) (Superkiller viralicidic activity 2-like 2) (TRAMP-like complex helicase)	MTREX DOB1 KIAA0052 MTR4 SKIV2L2	Homo sapiens (Human)	1042	ENSG00000039123	
Q9NVZ3	NECP2_HUMAN	Adaptin ear-binding coat-associated protein 2 (NECAP endocytosis-associated protein 2) (NECAP-2)	NECAP2	Homo sapiens (Human)	263	ENSG00000157191	ENSG00000157191 -> Q9NVZ3-1;Q9NVZ3-2;Q9NVZ3-4
Q15323	K1H1_HUMAN	Keratin, type I cuticular Ha1 (Hair keratin, type I Ha1) (Keratin-31) (K31)	KRT31 HHA1 HKA1 KRTHA1	Homo sapiens (Human)	416	ENSG00000094796	
Q9UQM7	KCC2A_HUMAN	Calcium/calmodulin-dependent protein kinase type II subunit alpha (CaM kinase II subunit alpha) (CaMK-II subunit alpha) (EC 2.7.11.17)	CAMK2A CAMKA KIAA0968	Homo sapiens (Human)	478	ENSG00000070808	ENSG00000070808 -> Q9UQM7-1;Q9UQM7-2
P56556	NDUA6_HUMAN	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 (Complex I-B14) (CI-B14) (LYR motif-containing protein 6) (NADH-ubiquinone oxidoreductase B14 subunit)	NDUFA6 LYRM6 NADHB14	Homo sapiens (Human)	128	ENSG00000184983	
P23921	RIR1_HUMAN	Ribonucleoside-diphosphate reductase large subunit (EC 1.17.4.1) (Ribonucleoside-diphosphate reductase subunit M1) (Ribonucleotide reductase large subunit)	RRM1 RR1	Homo sapiens (Human)	792	ENSG00000167325	
Q9UNS2	CSN3_HUMAN	COP9 signalosome complex subunit 3 (SGN3) (Signalosome subunit 3) (JAB1-containing signalosome subunit 3)	COPS3 CSN3	Homo sapiens (Human)	423	ENSG00000141030	ENSG00000141030 -> Q9UNS2-1;Q9UNS2-2
Q99848	EBP2_HUMAN	Probable rRNA-processing protein EBP2 (EBNA1-binding protein 2) (Nucleolar protein p40)	EBNA1BP2 EBP2	Homo sapiens (Human)	306	ENSG00000117395	
Q86X55	CARM1_HUMAN	Histone-arginine methyltransferase CARM1 (EC 2.1.1.319) (Coactivator-associated arginine methyltransferase 1) (Protein arginine N-methyltransferase 4)	CARM1 PRMT4	Homo sapiens (Human)	608	ENSG00000142453	ENSG00000142453 -> Q86X55-1;Q86X55-3
Q92905	CSN5_HUMAN	COP9 signalosome complex subunit 5 (SGN5) (Signalosome subunit 5) (EC 3.4.-.-) (Jun activation domain-binding protein 1)	COPS5 CSN5 JAB1	Homo sapiens (Human)	334	ENSG00000121022	
P09467	F16P1_HUMAN	Fructose-1,6-bisphosphatase 1 (FBPase 1) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase 1) (Liver FBPase)	FBP1 FBP	Homo sapiens (Human)	338	ENSG00000165140	
O95394	AGM1_HUMAN	Phosphoacetylglucosamine mutase (PAGM) (EC 5.4.2.3) (Acetylglucosamine phosphomutase) (N-acetylglucosamine-phosphate mutase) (Phosphoglucomutase-3) (PGM 3)	PGM3 AGM1	Homo sapiens (Human)	542	ENSG00000013375	ENSG00000013375 -> O95394-1;O95394-3;O95394-4
Q6YN16	HSDL2_HUMAN	Hydroxysteroid dehydrogenase-like protein 2 (EC 1.-.-.-) (Short chain dehydrogenase/reductase family 13C member 1)	HSDL2 C9orf99 SDR13C1	Homo sapiens (Human)	418	ENSG00000119471	ENSG00000119471 -> Q6YN16-1;Q6YN16-2
P48426	PI42A_HUMAN	Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha (EC 2.7.1.149) (1-phosphatidylinositol 5-phosphate 4-kinase 2-alpha) (Diphosphoinositide kinase 2-alpha) (PIP5KIII) (Phosphatidylinositol 5-phosphate 4-kinase type II alpha) (PI(5)P 4-kinase type II alpha) (PIP4KII-alpha) (PtdIns(4)P-5-kinase B isoform) (PtdIns(4)P-5-kinase C isoform) (PtdIns(5)P-4-kinase isoform 2-alpha)	PIP4K2A PIP5K2 PIP5K2A	Homo sapiens (Human)	406	ENSG00000150867	ENSG00000150867 -> P48426-1;P48426-2
Q9NX55	HYPK_HUMAN	Huntingtin-interacting protein K (Huntingtin yeast partner K)	HYPK C15orf63 HSPC136	Homo sapiens (Human)	129	ENSG00000242028	
P18583	SON_HUMAN	Protein SON (Bax antagonist selected in saccharomyces 1) (BASS1) (Negative regulatory element-binding protein) (NRE-binding protein) (Protein DBP-5) (SON3)	SON C21orf50 DBP5 KIAA1019 NREBP HSPC310 HSPC312	Homo sapiens (Human)	2426	ENSG00000159140	ENSG00000159140 -> P18583-1;P18583-3;P18583-4;P18583-6
P46108	CRK_HUMAN	Adapter molecule crk (Proto-oncogene c-Crk) (p38)	CRK	Homo sapiens (Human)	304	ENSG00000167193	ENSG00000167193 -> P46108-1;P46108-2
O14776	TCRG1_HUMAN	Transcription elongation regulator 1 (TATA box-binding protein-associated factor 2S) (Transcription factor CA150)	TCERG1 CA150 TAF2S	Homo sapiens (Human)	1098	ENSG00000113649	ENSG00000113649 -> O14776-1;O14776-2
Q9BV57	MTND_HUMAN	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase (EC 1.13.11.54) (Acireductone dioxygenase (Fe(2+)-requiring)) (ARD) (Fe-ARD) (Membrane-type 1 matrix metalloproteinase cytoplasmic tail-binding protein 1) (MTCBP-1) (Submergence-induced protein-like factor) (Sip-L)	ADI1 MTCBP1 HMFT1638	Homo sapiens (Human)	179	ENSG00000182551	ENSG00000182551 -> Q9BV57-1;Q9BV57-2
Q9Y4Y9	LSM5_HUMAN	U6 snRNA-associated Sm-like protein LSm5	LSM5	Homo sapiens (Human)	91	ENSG00000106355	ENSG00000106355 -> Q9Y4Y9-1;Q9Y4Y9-2
P35914	HMGCL_HUMAN	Hydroxymethylglutaryl-CoA lyase, mitochondrial (HL) (HMG-CoA lyase) (EC 4.1.3.4) (3-hydroxy-3-methylglutarate-CoA lyase)	HMGCL	Homo sapiens (Human)	325	ENSG00000117305	ENSG00000117305 -> P35914-1;P35914-2
Q14166	TTL12_HUMAN	Tubulin--tyrosine ligase-like protein 12 (Inactive tubulin--tyrosine ligase-like protein 12)	TTLL12 KIAA0153	Homo sapiens (Human)	644	ENSG00000100304	
P52306	GDS1_HUMAN	Rap1 GTPase-GDP dissociation stimulator 1 (Exchange factor smgGDS) (SMG GDS protein) (SMG P21 stimulatory GDP/GTP exchange protein)	RAP1GDS1	Homo sapiens (Human)	607	ENSG00000138698	ENSG00000138698 -> P52306-1;P52306-2;P52306-3;P52306-4;P52306-5;P52306-6
P05813	CRBA1_HUMAN	Beta-crystallin A3 [Cleaved into: Beta-crystallin A3, isoform A1, Delta4 form; Beta-crystallin A3, isoform A1, Delta7 form; Beta-crystallin A3, isoform A1, Delta8 form]	CRYBA1 CRYB1	Homo sapiens (Human)	215	ENSG00000108255	ENSG00000108255 -> P05813-1
O95373	IPO7_HUMAN	Importin-7 (Imp7) (Ran-binding protein 7) (RanBP7)	IPO7 RANBP7	Homo sapiens (Human)	1038	ENSG00000205339	
Q9NQG5	RPR1B_HUMAN	Regulation of nuclear pre-mRNA domain-containing protein 1B (Cell cycle-related and expression-elevated protein in tumor)	RPRD1B C20orf77 CREPT	Homo sapiens (Human)	326	ENSG00000101413	
Q9NYU2	UGGG1_HUMAN	UDP-glucose:glycoprotein glucosyltransferase 1 (UGT1) (hUGT1) (EC 2.4.1.-) (UDP--Glc:glycoprotein glucosyltransferase) (UDP-glucose ceramide glucosyltransferase-like 1)	UGGT1 GT UGCGL1 UGGT UGT1 UGTR	Homo sapiens (Human)	1555	ENSG00000136731	ENSG00000136731 -> Q9NYU2-1
O75436	VP26A_HUMAN	Vacuolar protein sorting-associated protein 26A (Vesicle protein sorting 26A) (hVPS26)	VPS26A VPS26	Homo sapiens (Human)	327	ENSG00000122958	ENSG00000122958 -> O75436-1;O75436-2
Q30154	DRB5_HUMAN	HLA class II histocompatibility antigen, DR beta 5 chain (DR beta-5) (DR2-beta-2) (Dw2) (MHC class II antigen DRB5)	HLA-DRB5	Homo sapiens (Human)	266	ENSG00000198502	
Q9NZ01	TECR_HUMAN	Very-long-chain enoyl-CoA reductase (EC 1.3.1.93) (Synaptic glycoprotein SC2) (Trans-2,3-enoyl-CoA reductase) (TER)	TECR GPSN2 SC2	Homo sapiens (Human)	308	ENSG00000099797	ENSG00000099797 -> Q9NZ01-1
Q9Y6E0	STK24_HUMAN	Serine/threonine-protein kinase 24 (EC 2.7.11.1) (Mammalian STE20-like protein kinase 3) (MST-3) (STE20-like kinase MST3) [Cleaved into: Serine/threonine-protein kinase 24 36 kDa subunit (Mammalian STE20-like protein kinase 3 N-terminal) (MST3/N); Serine/threonine-protein kinase 24 12 kDa subunit (Mammalian STE20-like protein kinase 3 C-terminal) (MST3/C)]	STK24 MST3 STK3	Homo sapiens (Human)	443	ENSG00000102572	ENSG00000102572 -> Q9Y6E0-1;Q9Y6E0-2
Q8N1G4	LRC47_HUMAN	Leucine-rich repeat-containing protein 47	LRRC47 KIAA1185	Homo sapiens (Human)	583	ENSG00000130764	
Q16401	PSMD5_HUMAN	26S proteasome non-ATPase regulatory subunit 5 (26S protease subunit S5 basic) (26S proteasome subunit S5B)	PSMD5 KIAA0072	Homo sapiens (Human)	504	ENSG00000095261	ENSG00000095261 -> Q16401-1;Q16401-2
Q5XKE5	K2C79_HUMAN	Keratin, type II cytoskeletal 79 (Cytokeratin-79) (CK-79) (Keratin-6-like) (Keratin-6L) (Keratin-79) (K79) (Type-II keratin Kb38)	KRT79 K6L KB38 KRT6L	Homo sapiens (Human)	535	ENSG00000185640	
P36507	MP2K2_HUMAN	Dual specificity mitogen-activated protein kinase kinase 2 (MAP kinase kinase 2) (MAPKK 2) (EC 2.7.12.2) (ERK activator kinase 2) (MAPK/ERK kinase 2) (MEK 2)	MAP2K2 MEK2 MKK2 PRKMK2	Homo sapiens (Human)	400	ENSG00000126934	
Q9UQE7	SMC3_HUMAN	Structural maintenance of chromosomes protein 3 (SMC protein 3) (SMC-3) (Basement membrane-associated chondroitin proteoglycan) (Bamacan) (Chondroitin sulfate proteoglycan 6) (Chromosome-associated polypeptide) (hCAP)	SMC3 BAM BMH CSPG6 SMC3L1	Homo sapiens (Human)	1217	ENSG00000108055	
P82909	RT36_HUMAN	28S ribosomal protein S36, mitochondrial (MRP-S36) (S36mt) (Alpha-ketoglutarate dehydrogenase component 4)	MRPS36 KGD4 DC47	Homo sapiens (Human)	103	ENSG00000134056	
Q9UBV8	PEF1_HUMAN	Peflin (PEF protein with a long N-terminal hydrophobic domain) (Penta-EF hand domain-containing protein 1)	PEF1 ABP32 UNQ1845/PRO3573	Homo sapiens (Human)	284	ENSG00000162517	
O14929	HAT1_HUMAN	Histone acetyltransferase type B catalytic subunit (EC 2.3.1.48) (Histone acetyltransferase 1)	HAT1 KAT1	Homo sapiens (Human)	419	ENSG00000128708	
Q16539	MK14_HUMAN	Mitogen-activated protein kinase 14 (MAP kinase 14) (MAPK 14) (EC 2.7.11.24) (Cytokine suppressive anti-inflammatory drug-binding protein) (CSAID-binding protein) (CSBP) (MAP kinase MXI2) (MAX-interacting protein 2) (Mitogen-activated protein kinase p38 alpha) (MAP kinase p38 alpha) (Stress-activated protein kinase 2a) (SAPK2a)	MAPK14 CSBP CSBP1 CSBP2 CSPB1 MXI2 SAPK2A	Homo sapiens (Human)	360	ENSG00000112062	ENSG00000112062 -> Q16539-1;Q16539-2;Q16539-4
Q99961	SH3G1_HUMAN	Endophilin-A2 (EEN fusion partner of MLL) (Endophilin-2) (Extra eleven-nineteen leukemia fusion gene protein) (EEN) (SH3 domain protein 2B) (SH3 domain-containing GRB2-like protein 1)	SH3GL1 CNSA1 SH3D2B	Homo sapiens (Human)	368	ENSG00000141985	ENSG00000141985 -> Q99961-1;Q99961-2;Q99961-3
Q13363	CTBP1_HUMAN	C-terminal-binding protein 1 (CtBP1) (EC 1.1.1.-)	CTBP1 CTBP	Homo sapiens (Human)	440	ENSG00000159692	ENSG00000159692 -> Q13363-1;Q13363-2
Q13630	FCL_HUMAN	GDP-L-fucose synthase (EC 1.1.1.271) (GDP-4-keto-6-deoxy-D-mannose-3,5-epimerase-4-reductase) (Protein FX) (Red cell NADP(H)-binding protein) (Short-chain dehydrogenase/reductase family 4E member 1)	GFUS SDR4E1 TSTA3	Homo sapiens (Human)	321	ENSG00000104522	
Q9UHY7	ENOPH_HUMAN	Enolase-phosphatase E1 (EC 3.1.3.77) (2,3-diketo-5-methylthio-1-phosphopentane phosphatase) (MASA homolog)	ENOPH1 MASA MSTP145	Homo sapiens (Human)	261	ENSG00000145293	ENSG00000145293 -> Q9UHY7-1;Q9UHY7-2
P52888	THOP1_HUMAN	Thimet oligopeptidase (EC 3.4.24.15) (Endopeptidase 24.15) (MP78)	THOP1	Homo sapiens (Human)	689	ENSG00000172009	ENSG00000172009 -> P52888-1;P52888-2
Q96A26	F162A_HUMAN	Protein FAM162A (E2-induced gene 5 protein) (Growth and transformation-dependent protein) (HGTD-P)	FAM162A C3orf28 E2IG5 DC16 FWP001	Homo sapiens (Human)	154	ENSG00000114023	
Q9NQW7	XPP1_HUMAN	Xaa-Pro aminopeptidase 1 (EC 3.4.11.9) (Aminoacylproline aminopeptidase) (Cytosolic aminopeptidase P) (Soluble aminopeptidase P) (sAmp) (X-Pro aminopeptidase 1) (X-prolyl aminopeptidase 1, soluble)	XPNPEP1 XPNPEPL XPNPEPL1	Homo sapiens (Human)	623	ENSG00000108039	ENSG00000108039 -> Q9NQW7-3;Q9NQW7-4
P06132	DCUP_HUMAN	Uroporphyrinogen decarboxylase (UPD) (URO-D) (EC 4.1.1.37)	UROD	Homo sapiens (Human)	367	ENSG00000126088	
P51570	GALK1_HUMAN	Galactokinase (EC 2.7.1.6) (Galactose kinase)	GALK1 GALK	Homo sapiens (Human)	392	ENSG00000108479	ENSG00000108479 -> P51570-1
Q9UMX0	UBQL1_HUMAN	Ubiquilin-1 (Protein linking IAP with cytoskeleton 1) (PLIC-1) (hPLIC-1)	UBQLN1 DA41 PLIC1	Homo sapiens (Human)	589	ENSG00000135018	ENSG00000135018 -> Q9UMX0-1;Q9UMX0-2
Q05707	COEA1_HUMAN	Collagen alpha-1(XIV) chain (Undulin)	COL14A1 UND	Homo sapiens (Human)	1796	ENSG00000187955	ENSG00000187955 -> Q05707-1;Q05707-2
O75521	ECI2_HUMAN	Enoyl-CoA delta isomerase 2 (EC 5.3.3.8) (DRS-1) (Delta(3),delta(2)-enoyl-CoA isomerase) (D3,D2-enoyl-CoA isomerase) (Diazepam-binding inhibitor-related protein 1) (DBI-related protein 1) (Dodecenoyl-CoA isomerase) (Hepatocellular carcinoma-associated antigen 88) (Peroxisomal 3,2-trans-enoyl-CoA isomerase) (pECI) (Renal carcinoma antigen NY-REN-1)	ECI2 DRS1 HCA88 PECI	Homo sapiens (Human)	394	ENSG00000198721	ENSG00000198721 -> O75521-1
P27708	PYR1_HUMAN	CAD protein [Includes: Glutamine-dependent carbamoyl-phosphate synthase (EC 6.3.5.5); Aspartate carbamoyltransferase (EC 2.1.3.2); Dihydroorotase (EC 3.5.2.3)]	CAD	Homo sapiens (Human)	2225	ENSG00000084774	
P08263	GSTA1_HUMAN	Glutathione S-transferase A1 (EC 2.5.1.18) (13-hydroperoxyoctadecadienoate peroxidase) (EC 1.11.1.-) (Androst-5-ene-3,17-dione isomerase) (EC 5.3.3.-) (GST HA subunit 1) (GST class-alpha member 1) (GST-epsilon) (GSTA1-1) (GTH1) [Cleaved into: Glutathione S-transferase A1, N-terminally processed]	GSTA1	Homo sapiens (Human)	222	ENSG00000243955	
P17900	SAP3_HUMAN	Ganglioside GM2 activator (Cerebroside sulfate activator protein) (GM2-AP) (Sphingolipid activator protein 3) (SAP-3) [Cleaved into: Ganglioside GM2 activator isoform short]	GM2A	Homo sapiens (Human)	193	ENSG00000196743	
O14773	TPP1_HUMAN	Tripeptidyl-peptidase 1 (TPP-1) (EC 3.4.14.9) (Cell growth-inhibiting gene 1 protein) (Lysosomal pepstatin-insensitive protease) (LPIC) (Tripeptidyl aminopeptidase) (Tripeptidyl-peptidase I) (TPP-I)	TPP1 CLN2 GIG1 UNQ267/PRO304	Homo sapiens (Human)	563	ENSG00000166340	ENSG00000166340 -> O14773-1;O14773-2
Q3ZCQ8	TIM50_HUMAN	Mitochondrial import inner membrane translocase subunit TIM50	TIMM50 TIM50 PRO1512	Homo sapiens (Human)	353	ENSG00000105197	ENSG00000105197 -> Q3ZCQ8-1;Q3ZCQ8-2
